;tweet;sentimen;step01;tokens;tokens_perbaikan;Stop_removal;step02;ProcessedText
10; gw tahunya Fufufafa yg kacau abiis klo sdh manggung di medsos kaskus  saja di katain abiiss Indonesia serasa miliknya yg lain ngontrak ;-1.0;gw tahunya fufufafa yg kacau abiis klo sdh manggung di medsos kaskus saja di katain abiiss indonesia serasa miliknya yg lain ngontrak;['gw', 'tahunya', 'fufufafa', 'yg', 'kacau', 'abiis', 'klo', 'sdh', 'manggung', 'di', 'medsos', 'kaskus', 'saja', 'di', 'katain', 'abiiss', 'indonesia', 'serasa', 'miliknya', 'yg', 'lain', 'ngontrak'];['saya', 'tahunya', 'fufufafa', 'yang', 'kacau', 'abiis', 'kalau', 'sudah', 'manggung', 'di', 'medsos', 'kaskus', 'saja', 'di', 'katain', 'abiiss', 'indonesia', 'serasa', 'miliknya', 'yang', 'lain', 'ngontrak'];['tahunya', 'fufufafa', 'kacau', 'abiis', 'manggung', 'medsos', 'kaskus', 'katain', 'abiiss', 'indonesia', 'serasa', 'miliknya', 'ngontrak'];tahunya fufufafa kacau abiis manggung medsos kaskus katain abiiss indonesia serasa miliknya ngontrak;tahu fufufafa kacau abiis manggung medsos kaskus katain abiiss indonesia serasa milik ngontrak
11;Habis si mulyono timbul fufufafa sakau #JokowiPredatorAPBN #JokowiPredatorAPBN;-1.0;habis si mulyono timbul fufufafa sakau hashtag jokowi predator apbn hashtag hashtag jokowi predator apbn hashtag;['habis', 'si', 'mulyono', 'timbul', 'fufufafa', 'sakau', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag'];['habis', 'sih', 'mulyono', 'timbul', 'fufufafa', 'sakau', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag'];['habis', 'sih', 'mulyono', 'timbul', 'fufufafa', 'sakau', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag', 'hashtag', 'jokowi', 'predator', 'apbn', 'hashtag'];habis sih mulyono timbul fufufafa sakau hashtag jokowi predator apbn hashtag hashtag jokowi predator apbn hashtag;habis sih mulyono timbul fufufafa sakau hashtag jokowi predator apbn hashtag hashtag jokowi predator apbn hashtag
12; Lah berarti menteri komdigi jalan sendiri mengangkat stafsus menteri tanpa persetujuan istana atau barangkali fufufafa yg menyelundupkan buzer mulyono jadi stafsus;-1.0;lah berarti menteri komdigi jalan sendiri mengangkat stafsus menteri tanpa persetujuan istana atau barangkali fufufafa yg menyelundupkan buzer mulyono jadi stafsus;['lah', 'berarti', 'menteri', 'komdigi', 'jalan', 'sendiri', 'mengangkat', 'stafsus', 'menteri', 'tanpa', 'persetujuan', 'istana', 'atau', 'barangkali', 'fufufafa', 'yg', 'menyelundupkan', 'buzer', 'mulyono', 'jadi', 'stafsus'];['lah', 'berarti', 'menteri', 'komdigi', 'jalan', 'sendiri', 'mengangkat', 'stafsus', 'menteri', 'tanpa', 'persetujuan', 'istana', 'atau', 'barangkali', 'fufufafa', 'yang', 'menyelundupkan', 'buzer', 'mulyono', 'jadi', 'stafsus'];['menteri', 'komdigi', 'jalan', 'mengangkat', 'stafsus', 'menteri', 'persetujuan', 'istana', 'barangkali', 'fufufafa', 'menyelundupkan', 'buzer', 'mulyono', 'stafsus'];menteri komdigi jalan mengangkat stafsus menteri persetujuan istana barangkali fufufafa menyelundupkan buzer mulyono stafsus;menteri komdigi jalan angkat stafsus menteri tuju istana barangkali fufufafa selundup buzer mulyono stafsus
13;  Fufufafa Tamatan Smp . 1. Masuk Uni harus ada HS Apalagi Internasional student 2.Collage ambil kredit utk Transfer ke Un bagi IS Bohong berlapis Tapi Babi Anaknya Babi juga kan ? https://t.co/GYRPozkpW5;-1.0;fufufafa tamatan smp number masuk uni harus ada hs apalagi internasional student number collage ambil kredit utk transfer ke un bagi is bohong berlapis tapi babi anaknya babi juga kan cogyrpozkpw5;['fufufafa', 'tamatan', 'smp', 'number', 'masuk', 'uni', 'harus', 'ada', 'hs', 'apalagi', 'internasional', 'student', 'number', 'collage', 'ambil', 'kredit', 'utk', 'transfer', 'ke', 'un', 'bagi', 'is', 'bohong', 'berlapis', 'tapi', 'babi', 'anaknya', 'babi', 'juga', 'kan', 'cogyrpozkpw5'];['fufufafa', 'tamatan', 'smp', 'number', 'masuk', 'uni', 'harus', 'ada', 'hs', 'apalagi', 'internasional', 'student', 'number', 'collage', 'ambil', 'kredit', 'untuk', 'transfer', 'ke', 'un', 'bagi', 'is', 'bohong', 'berlapis', 'tapi', 'babi', 'anaknya', 'babi', 'juga', 'kan', 'cogyrpozkpw5'];['fufufafa', 'tamatan', 'smp', 'number', 'masuk', 'uni', 'hs', 'internasional', 'student', 'number', 'collage', 'ambil', 'kredit', 'transfer', 'un', 'is', 'bohong', 'berlapis', 'babi', 'anaknya', 'babi', 'cogyrpozkpw5'];fufufafa tamatan smp number masuk uni hs internasional student number collage ambil kredit transfer un is bohong berlapis babi anaknya babi cogyrpozkpw5;fufufafa tamat smp number masuk uni hs internasional student number collage ambil kredit transfer un is bohong lap babi anak babi cogyrpozkpw5
14;     Selain dia masih pengen dianggap oleh rakyat indonesia alasan lainnya dia masih terus aktif keliling2 itu untuk menaikan elektabilitas anaknya si Fufufafa itu untuk Nyapres di 2029 nanti;-1.0;selain dia masih pengen dianggap oleh rakyat indonesia alasan lainnya dia masih terus aktif keliling2 itu untuk menaikan elektabilitas anaknya si fufufafa itu untuk nyapres di number nanti;['selain', 'dia', 'masih', 'pengen', 'dianggap', 'oleh', 'rakyat', 'indonesia', 'alasan', 'lainnya', 'dia', 'masih', 'terus', 'aktif', 'keliling2', 'itu', 'untuk', 'menaikan', 'elektabilitas', 'anaknya', 'si', 'fufufafa', 'itu', 'untuk', 'nyapres', 'di', 'number', 'nanti'];['selain', 'dia', 'masih', 'ingin', 'dianggap', 'oleh', 'rakyat', 'indonesia', 'alasan', 'lainnya', 'dia', 'masih', 'terus', 'aktif', 'keliling2', 'itu', 'untuk', 'menaikan', 'elektabilitas', 'anaknya', 'sih', 'fufufafa', 'itu', 'untuk', 'nyapres', 'di', 'number', 'nanti'];['dianggap', 'rakyat', 'indonesia', 'alasan', 'aktif', 'keliling2', 'menaikan', 'elektabilitas', 'anaknya', 'sih', 'fufufafa', 'nyapres', 'number'];dianggap rakyat indonesia alasan aktif keliling2 menaikan elektabilitas anaknya sih fufufafa nyapres number;anggap rakyat indonesia alas aktif keliling2 naik elektabilitas anak sih fufufafa nyapres number
15;  Ye awas nanti dianggap provokator lho. Di ejek fufufafa aja diam aja. Malah di elus elus bocahe.;-1.0;ye awas nanti dianggap provokator lho di ejek fufufafa aja diam aja malah di elus elus bocahe;['ye', 'awas', 'nanti', 'dianggap', 'provokator', 'lho', 'di', 'ejek', 'fufufafa', 'aja', 'diam', 'aja', 'malah', 'di', 'elus', 'elus', 'bocahe'];['ye', 'awas', 'nanti', 'dianggap', 'provokator', 'lho', 'di', 'ejek', 'fufufafa', 'saja', 'diam', 'saja', 'malah', 'di', 'elus', 'elus', 'bocahe'];['ye', 'awas', 'dianggap', 'provokator', 'lho', 'ejek', 'fufufafa', 'diam', 'elus', 'elus', 'bocahe'];ye awas dianggap provokator lho ejek fufufafa diam elus elus bocahe;ye awas anggap provokator lho ejek fufufafa diam elus elus bocahe
16;Lama² gw gambar 3P fufufafa×mul×gemoy;0.0;lama gw gambar 3 fufufafa mul gemoy;['lama', 'gw', 'gambar', '3', 'fufufafa', 'mul', 'gemoy'];['lama', 'saya', 'gambar', '3', 'fufufafa', 'mul', 'gemoy'];['gambar', '3', 'fufufafa', 'mul', 'gemoy'];gambar 3 fufufafa mul gemoy;gambar 3 fufufafa mul gemoy
17;fufufafa debut di buku sabaa tahir;0.0;fufufafa debut di buku sabaa tahir;['fufufafa', 'debut', 'di', 'buku', 'sabaa', 'tahir'];['fufufafa', 'debut', 'di', 'buku', 'sabaa', 'tahir'];['fufufafa', 'debut', 'buku', 'sabaa', 'tahir'];fufufafa debut buku sabaa tahir;fufufafa debut buku sabaa tahir
18; Trus kau nyuruh kami percaya sama Jokowi gitu...???? Esemka. Saja di kibuli satu negara...!!!;-1.0;trus kau nyuruh kami percaya sama jokowi gitu repeated esemka saja di kibuli satu negara repeated;['trus', 'kau', 'nyuruh', 'kami', 'percaya', 'sama', 'jokowi', 'gitu', 'repeated', 'esemka', 'saja', 'di', 'kibuli', 'satu', 'negara', 'repeated'];['terus', 'kau', 'nyuruh', 'kami', 'percaya', 'sama', 'jokowi', 'gitu', 'repeated', 'esemka', 'saja', 'di', 'kibuli', 'satu', 'negara', 'repeated'];['kau', 'nyuruh', 'percaya', 'jokowi', 'gitu', 'repeated', 'esemka', 'kibuli', 'negara', 'repeated'];kau nyuruh percaya jokowi gitu repeated esemka kibuli negara repeated;kau nyuruh percaya jokowi gitu repeated esemka kibul negara repeated
19;    Bergaul coba bang keknya hidup lu flat bgt;-1.0;bergaul coba bang keknya hidup lu flat bgt;['bergaul', 'coba', 'bang', 'keknya', 'hidup', 'lu', 'flat', 'bgt'];['bergaul', 'coba', 'bang', 'keknya', 'hidup', 'kamu', 'flat', 'banget'];['bergaul', 'coba', 'bang', 'keknya', 'hidup', 'flat', 'banget'];bergaul coba bang keknya hidup flat banget;gaul coba bang kek hidup flat banget
20;  Coba kontak LBH siapa tau mereka bisa bantu at least mereka bisa ngasih rekomendasi lawyer yg kompeten utk bantu class action-nya;1.0;coba kontak allcaps lbh allcaps siapa tau mereka bisa bantu at least mereka bisa ngasih rekomendasi lawyer yg kompeten utk bantu class action nya;['coba', 'kontak', 'allcaps', 'lbh', 'allcaps', 'siapa', 'tau', 'mereka', 'bisa', 'bantu', 'at', 'least', 'mereka', 'bisa', 'ngasih', 'rekomendasi', 'lawyer', 'yg', 'kompeten', 'utk', 'bantu', 'class', 'action', 'nya'];['coba', 'kontak', 'allcaps', 'lebih', 'allcaps', 'siapa', 'tau', 'mereka', 'bisa', 'bantu', 'at', 'least', 'mereka', 'bisa', 'memberi', 'rekomendasi', 'lawyer', 'yang', 'kompeten', 'untuk', 'bantu', 'class', 'action', 'nya'];['coba', 'kontak', 'allcaps', 'allcaps', 'tau', 'bantu', 'at', 'least', 'rekomendasi', 'lawyer', 'kompeten', 'bantu', 'class', 'action', 'nya'];coba kontak allcaps allcaps tau bantu at least rekomendasi lawyer kompeten bantu class action nya;coba kontak allcaps allcaps tau bantu at least rekomendasi lawyer kompeten bantu class action nya
21; Sohibnya bowo;0.0;sohibnya bowo;['sohibnya', 'bowo'];['sohibnya', 'bowo'];['sohibnya', 'bowo'];sohibnya bowo;sohib bowo
22; Kaos saya adik fufufafa ga ada??;0.0;kaos saya adik fufufafa ga ada repeated;['kaos', 'saya', 'adik', 'fufufafa', 'ga', 'ada', 'repeated'];['kaos', 'saya', 'adik', 'fufufafa', 'tidak', 'ada', 'repeated'];['kaos', 'adik', 'fufufafa', 'repeated'];kaos adik fufufafa repeated;kaos adik fufufafa repeated
23; serius nanya dia pernah pake kaos bertuliskan adiknya fufufafa gak? ;0.0;serius nanya dia pernah pake kaos bertuliskan adiknya fufufafa gak;['serius', 'nanya', 'dia', 'pernah', 'pake', 'kaos', 'bertuliskan', 'adiknya', 'fufufafa', 'gak'];['serius', 'nanya', 'dia', 'pernah', 'pakai', 'kaos', 'bertuliskan', 'adiknya', 'fufufafa', 'tidak'];['serius', 'nanya', 'pakai', 'kaos', 'bertuliskan', 'adiknya', 'fufufafa'];serius nanya pakai kaos bertuliskan adiknya fufufafa;serius nanya pakai kaos tulis adik fufufafa
24; bermainnya gampang apalaginyang kateringnya you knowlah pihak mana yg dpet;0.0;bermainnya gampang apalaginyang kateringnya you knowlah pihak mana yg dpet;['bermainnya', 'gampang', 'apalaginyang', 'kateringnya', 'you', 'knowlah', 'pihak', 'mana', 'yg', 'dpet'];['bermainnya', 'gampang', 'apalaginyang', 'kateringnya', 'you', 'knowlah', 'pihak', 'mana', 'yang', 'dpet'];['bermainnya', 'gampang', 'apalaginyang', 'kateringnya', 'you', 'knowlah', 'dpet'];bermainnya gampang apalaginyang kateringnya you knowlah dpet;main gampang apalaginyang katering you knowlah dpet
25; Ganyang bapak fufufafa;-1.0;ganyang bapak fufufafa;['ganyang', 'bapak', 'fufufafa'];['ganyang', 'bapak', 'fufufafa'];['ganyang', 'fufufafa'];ganyang fufufafa;ganyang fufufafa
26; Wkwkwkwk biasa mah ke kadernya sendiri MAAFIN tapi kalau gak dikorbanin nih kroco kena tuh gubernur;0.0;wkwkwkwk biasa mah ke kadernya sendiri allcaps maafin allcaps tapi kalau gak dikorbanin nih kroco kena tuh gubernur;['wkwkwkwk', 'biasa', 'mah', 'ke', 'kadernya', 'sendiri', 'allcaps', 'maafin', 'allcaps', 'tapi', 'kalau', 'gak', 'dikorbanin', 'nih', 'kroco', 'kena', 'tuh', 'gubernur'];['wkwkwkwk', 'biasa', 'mah', 'ke', 'kadernya', 'sendiri', 'allcaps', 'maafin', 'allcaps', 'tapi', 'kalau', 'tidak', 'dikorbanin', 'ini', 'kroco', 'kena', 'itu', 'gubernur'];['wkwkwkwk', 'mah', 'kadernya', 'allcaps', 'maafin', 'allcaps', 'dikorbanin', 'kroco', 'kena', 'gubernur'];wkwkwkwk mah kadernya allcaps maafin allcaps dikorbanin kroco kena gubernur;wkwkwkwk mah kader allcaps maafin allcaps dikorbanin kroco kena gubernur
27; Nasgor lebih enak dan merakyat;0.0;nasgor lebih enak dan merakyat;['nasgor', 'lebih', 'enak', 'dan', 'merakyat'];['nasgor', 'lebih', 'enak', 'dan', 'merakyat'];['nasgor', 'enak', 'merakyat'];nasgor enak merakyat;nasgor enak rakyat
28;Susu susu mulu satu jiwa dan satu aliran sama fufufafa;0.0;susu susu mulu satu jiwa dan satu aliran sama fufufafa;['susu', 'susu', 'mulu', 'satu', 'jiwa', 'dan', 'satu', 'aliran', 'sama', 'fufufafa'];['susu', 'susu', 'mulu', 'satu', 'jiwa', 'dan', 'satu', 'aliran', 'sama', 'fufufafa'];['susu', 'susu', 'mulu', 'jiwa', 'aliran', 'fufufafa'];susu susu mulu jiwa aliran fufufafa;susu susu mulu jiwa alir fufufafa
29; Kan 58% ssh memilih si fufufafa jadi pemimpin nya. Tanyakan saja ke 58% yg milih bocah itu;-1.0;kan percent ssh memilih si fufufafa jadi pemimpin nya tanyakan saja ke percent yg milih bocah itu;['kan', 'percent', 'ssh', 'memilih', 'si', 'fufufafa', 'jadi', 'pemimpin', 'nya', 'tanyakan', 'saja', 'ke', 'percent', 'yg', 'milih', 'bocah', 'itu'];['kan', 'percent', 'ssh', 'memilih', 'sih', 'fufufafa', 'jadi', 'pemimpin', 'nya', 'tanyakan', 'saja', 'ke', 'percent', 'yang', 'milih', 'bocah', 'itu'];['percent', 'ssh', 'memilih', 'sih', 'fufufafa', 'pemimpin', 'nya', 'percent', 'milih', 'bocah'];percent ssh memilih sih fufufafa pemimpin nya percent milih bocah;percent ssh pilih sih fufufafa pimpin nya percent milih bocah
30; Loker : muslimah berjilbab Kadrun : oh wajar biar barokah Loker : non muslim (agar gak ribet makanan dan waktu kerja terpotong sholat 5 waktu) Kadrun : WOI! RASIS! ISLAMOPHOBIA!;-1.0;loker muslimah berjilbab kadrun oh wajar biar barokah loker non muslim agar gak ribet makanan dan waktu kerja terpotong sholat number waktu kadrun allcaps woi allcaps allcaps rasis allcaps allcaps islamophobia allcaps;['loker', 'muslimah', 'berjilbab', 'kadrun', 'oh', 'wajar', 'biar', 'barokah', 'loker', 'non', 'muslim', 'agar', 'gak', 'ribet', 'makanan', 'dan', 'waktu', 'kerja', 'terpotong', 'sholat', 'number', 'waktu', 'kadrun', 'allcaps', 'woi', 'allcaps', 'allcaps', 'rasis', 'allcaps', 'allcaps', 'islamophobia', 'allcaps'];['loker', 'muslimah', 'berjilbab', 'kadrun', 'oh', 'wajar', 'biar', 'barokah', 'loker', 'non', 'muslim', 'agar', 'tidak', 'rumit', 'makanan', 'dan', 'waktu', 'kerja', 'terpotong', 'sholat', 'number', 'waktu', 'kadrun', 'allcaps', 'woi', 'allcaps', 'allcaps', 'rasis', 'allcaps', 'allcaps', 'islamophobia', 'allcaps'];['loker', 'muslimah', 'berjilbab', 'kadrun', 'oh', 'wajar', 'biar', 'barokah', 'loker', 'non', 'muslim', 'rumit', 'makanan', 'kerja', 'terpotong', 'sholat', 'number', 'kadrun', 'allcaps', 'woi', 'allcaps', 'allcaps', 'rasis', 'allcaps', 'allcaps', 'islamophobia', 'allcaps'];loker muslimah berjilbab kadrun oh wajar biar barokah loker non muslim rumit makanan kerja terpotong sholat number kadrun allcaps woi allcaps allcaps rasis allcaps allcaps islamophobia allcaps;loker muslimah jilbab kadrun oh wajar biar barokah loker non muslim rumit makan kerja potong sholat number kadrun allcaps woi allcaps allcaps ras allcaps allcaps islamophobia allcaps
31;Lebih sadis daripada dajjal !!;-1.0;lebih sadis daripada dajjal repeated;['lebih', 'sadis', 'daripada', 'dajjal', 'repeated'];['lebih', 'sadis', 'daripada', 'dajjal', 'repeated'];['sadis', 'dajjal', 'repeated'];sadis dajjal repeated;sadis dajjal repeated
32;  Even buat postingan ginian tetep ada yang relate. Luar biasa fufufafa;1.0;even buat postingan ginian tetep ada yang relate luar biasa fufufafa;['even', 'buat', 'postingan', 'ginian', 'tetep', 'ada', 'yang', 'relate', 'luar', 'biasa', 'fufufafa'];['even', 'buat', 'postingan', 'ginian', 'tetap', 'ada', 'yang', 'relate', 'luar', 'biasa', 'fufufafa'];['even', 'postingan', 'ginian', 'relate', 'fufufafa'];even postingan ginian relate fufufafa;even postingan ginian relate fufufafa
33; pacar lu fufufafa;0.0;pacar lu fufufafa;['pacar', 'lu', 'fufufafa'];['pacar', 'kamu', 'fufufafa'];['pacar', 'fufufafa'];pacar fufufafa;pacar fufufafa
34;Viralkan terus FUFUFAFA #fufufafawaprespsikopat;-1.0;viralkan terus allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag;['viralkan', 'terus', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];['viralkan', 'terus', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];['viralkan', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];viralkan allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag;viralkan allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag
35;Terus viralkan FUFUFAFA ! #fufufafawaprespsikopat;-1.0;terus viralkan allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag;['terus', 'viralkan', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];['terus', 'viralkan', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];['viralkan', 'allcaps', 'fufufafa', 'allcaps', 'hashtag', 'fufufafawaprespsikop', 'at', 'hashtag'];viralkan allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag;viralkan allcaps fufufafa allcaps hashtag fufufafawaprespsikop at hashtag
36;Sayangnya bandar2 judi bola tidak bisa komunikasi dng STY sih.;0.0;sayangnya bandar2 judi bola tidak bisa komunikasi dng allcaps sty allcaps sih;['sayangnya', 'bandar2', 'judi', 'bola', 'tidak', 'bisa', 'komunikasi', 'dng', 'allcaps', 'sty', 'allcaps', 'sih'];['sayangnya', 'bandar2', 'judi', 'bola', 'tidak', 'bisa', 'komunikasi', 'dengan', 'allcaps', 'sty', 'allcaps', 'sih'];['sayangnya', 'bandar2', 'judi', 'bola', 'komunikasi', 'allcaps', 'sty', 'allcaps', 'sih'];sayangnya bandar2 judi bola komunikasi allcaps sty allcaps sih;sayang bandar2 judi bola komunikasi allcaps sty allcaps sih
37; Kaum fufufafa bgt itu ;-1.0;kaum fufufafa bgt itu;['kaum', 'fufufafa', 'bgt', 'itu'];['kaum', 'fufufafa', 'banget', 'itu'];['kaum', 'fufufafa', 'banget'];kaum fufufafa banget;kaum fufufafa banget
38;  Fufufafa tanya si tukang panci ;0.0;fufufafa tanya si tukang panci;['fufufafa', 'tanya', 'si', 'tukang', 'panci'];['fufufafa', 'tanya', 'sih', 'tukang', 'panci'];['fufufafa', 'sih', 'tukang', 'panci'];fufufafa sih tukang panci;fufufafa sih tukang panci
